hubspot_deal_id,deal_name,amount,dealstage,industry,company_size,competitor_mentioned,sales_cycle_days,deal_notes,loss_reason_tag,win_reason_tag,internal_deal_id
329821106923,Deal 0035,5800000,3835407076,Healthcare,1-50,Competitor C,43,"Lost on timing, customer paused all new vendor evaluations due to internal reorg.",,,D0035
329821106924,Deal 0047,3800000,3835407076,E-commerce,500+,Competitor B,69,"Competitor B's aggressive enterprise discount won this one, feature comparison was actually in our favor.",,,D0047
329832516329,Deal 0060,2600000,3835407076,Fintech,1-50,,14,Customer chose to stay with incumbent vendor after renewal negotiations improved.,,,D0060
329842200254,Deal 0015,2400000,3835407076,Fintech,500+,,49,"No competitor mentioned, customer decided to build in-house instead.",,,D0015
329744555717,Deal 0013,300000,3835407076,Healthcare,1-50,Competitor A,38,"Lost to Competitor A, they could go live in days while our implementation takes weeks, timeline was the dealbreaker.",,,D0013
329787618030,Deal 0097,200000,3835407076,Healthcare,51-200,Competitor A,31,"Lost to Competitor A, implementation speed was the deciding factor, not budget.",,,D0097
329792788196,Deal 0069,200000,3835407076,Healthcare,51-200,Competitor A,29,"Lost to Competitor A, they could go live in days while our implementation takes weeks, timeline was the dealbreaker.",,,D0069
329832524513,Deal 0068,400000,3835407076,Healthcare,1-50,Competitor A,39,We lost to Competitor A. Customer needed something live before a regulatory deadline and our setup time was too long.,,,D0068
329838583502,Deal 0075,3400000,3835407076,Logistics,201-500,Competitor C,49,Lost because our product lacked a specific compliance certification they required.,,,D0075
329838583503,Deal 0079,4000000,3835407076,Healthcare,1-50,Competitor C,65,"Deal went cold, customer stopped responding after the proposal stage, unclear reason.",,,D0079
329840378582,Deal 0099,4300000,3835407076,E-commerce,201-500,Competitor C,75,Lost because our product lacked a specific compliance certification they required.,,,D0099
329787618031,Deal 0093,4100000,3835407076,E-commerce,500+,,105,"Lost on timing, customer paused all new vendor evaluations due to internal reorg.",,,D0093
329792788197,Deal 0018,3600000,3835407076,Manufacturing,500+,Competitor B,141,"Competitor B again on a large deal, customer said budget was approved for a lower number than our floor.",,,D0018
329832524514,Deal 0058,400000,3835407076,Healthcare,51-200,Competitor A,31,"Customer picked Competitor A for faster time to value, mentioned our setup process felt too heavy for their size.",,,D0058
329838583504,Deal 0001,5800000,3835407076,Manufacturing,500+,Competitor B,76,"Lost to Competitor B, they undercut us by almost 25% on the enterprise contract.",,,D0001
329842200255,Deal 0077,7600000,3835407076,Manufacturing,500+,Competitor B,103,"Competitor B won purely on price, procurement forced a discount we couldn't match at this deal size.",,,D0077
329744555718,Deal 0091,2700000,3835407076,Healthcare,51-200,,52,Lost to Competitor C on integration depth with their existing data warehouse.,,,D0091
329822894788,Deal 0025,500000,3835407076,Healthcare,1-50,Competitor A,21,We lost to Competitor A. Customer needed something live before a regulatory deadline and our setup time was too long.,,,D0025
329783926495,Deal 0081,700000,3835407076,Healthcare,51-200,Competitor A,17,We lost to Competitor A. Customer needed something live before a regulatory deadline and our setup time was too long.,,,D0081
329806471917,Deal 0044,2600000,3835407076,EdTech,1-50,Competitor C,83,"No competitor mentioned, customer decided to build in-house instead.",,,D0044
329822894789,Deal 0062,3700000,3835407076,EdTech,201-500,,26,"No competitor mentioned, customer decided to build in-house instead.",,,D0062
329832493756,Deal 0033,7400000,3835407076,Fintech,500+,Competitor B,91,"Competitor B's aggressive enterprise discount won this one, feature comparison was actually in our favor.",,,D0033
329842200256,Deal 0038,900000,3835407076,Healthcare,1-50,Competitor A,20,"Lost to Competitor A, they could go live in days while our implementation takes weeks, timeline was the dealbreaker.",,,D0038
329787618032,Deal 0009,3800000,3835407075,Logistics,201-500,,39,"Won on feature parity plus better support SLA, champion was very engaged throughout.",,,D0009
329832524515,Deal 0065,3000000,3835407075,Fintech,1-50,,85,"Won on feature parity plus better support SLA, champion was very engaged throughout.",,,D0065
329744555719,Deal 0078,2500000,3835407075,Healthcare,1-50,,54,Won mainly due to existing relationship with the CFO from a previous company.,,,D0078
329774688987,Deal 0006,300000,3835407075,Healthcare,201-500,,90,Customer chose us for better customer support reputation based on reference calls.,,,D0006
329792788198,Deal 0085,4900000,3835407075,Fintech,51-200,,28,Customer chose us for better customer support reputation based on reference calls.,,,D0085
329792788199,Deal 0064,4800000,3835407075,Manufacturing,51-200,,88,"Won on a multi-year discount we offered, customer was price sensitive but valued the relationship.",,,D0064
329822894790,Deal 0046,2700000,3835407075,Logistics,500+,,73,Customer liked our pricing flexibility and the demo landed really well with the finance team.,,,D0046
329822894791,Deal 0051,2600000,3835407075,Manufacturing,1-50,,63,"Won on a multi-year discount we offered, customer was price sensitive but valued the relationship.",,,D0051
329838583505,Deal 0043,2600000,3835407075,Healthcare,1-50,,27,"Price was comparable but our implementation timeline sealed it, they needed to go live in 30 days.",,,D0043
329783926496,Deal 0067,3100000,3835407075,EdTech,500+,,21,"Won on feature parity plus better support SLA, champion was very engaged throughout.",,,D0067
329838583506,Deal 0072,400000,3835407075,Fintech,1-50,,57,"Won on feature parity plus better support SLA, champion was very engaged throughout.",,,D0072
329840378583,Deal 0023,4300000,3835407075,Logistics,201-500,,58,"Won on feature parity plus better support SLA, champion was very engaged throughout.",,,D0023
329744555720,Deal 0086,3200000,3835407075,EdTech,500+,,42,Champion left mid-cycle but new stakeholder preferred us due to reporting capabilities.,,,D0086
329787618033,Deal 0055,400000,3835407075,E-commerce,201-500,,73,Customer chose us for better customer support reputation based on reference calls.,,,D0055
329822894792,Deal 0002,2600000,3835407075,Healthcare,51-200,,15,Champion left mid-cycle but new stakeholder preferred us due to reporting capabilities.,,,D0002
329838583507,Deal 0042,600000,3835407075,Logistics,500+,,83,Customer liked our pricing flexibility and the demo landed really well with the finance team.,,,D0042
329806471918,Deal 0021,1100000,3835407075,Logistics,500+,,39,"They were evaluating two vendors, we won because our integration with their existing stack was native.",,,D0021
329832524516,Deal 0061,3900000,3835407075,Fintech,1-50,,84,Closed because our onboarding was 2 weeks vs their 8 week quote. Champion pushed hard internally.,,,D0061
329832516330,Deal 0089,1100000,3835407075,Healthcare,1-50,,35,Champion left mid-cycle but new stakeholder preferred us due to reporting capabilities.,,,D0089
329842200257,Deal 0053,2200000,3835407075,Fintech,1-50,,66,"They were evaluating two vendors, we won because our integration with their existing stack was native.",,,D0053
329744555721,Deal 0100,700000,3835407075,Healthcare,1-50,,45,Customer liked our pricing flexibility and the demo landed really well with the finance team.,,,D0100
329774688988,Deal 0016,1600000,3835407075,Fintech,500+,,72,"Won on a multi-year discount we offered, customer was price sensitive but valued the relationship.",,,D0016
329832493757,Deal 0076,500000,3835407075,Logistics,201-500,,21,"Won on a multi-year discount we offered, customer was price sensitive but valued the relationship.",,,D0076
329842200258,Deal 0027,200000,3835407075,Fintech,51-200,,24,Closed because our onboarding was 2 weeks vs their 8 week quote. Champion pushed hard internally.,,,D0027
329744555722,Deal 0083,2700000,3835407075,Logistics,201-500,,62,"Won after a strong product demo, no major competitor mentioned in this cycle.",,,D0083
329838583508,Deal 0084,4200000,3835407075,Healthcare,201-500,,79,"Won on a multi-year discount we offered, customer was price sensitive but valued the relationship.",,,D0084
329821106925,Deal 0010,300000,3835407075,Logistics,1-50,,50,Won mainly due to existing relationship with the CFO from a previous company.,,,D0010
329832524517,Deal 0011,3800000,3835407075,Healthcare,51-200,,55,Won mainly due to existing relationship with the CFO from a previous company.,,,D0011
329832524518,Deal 0019,1900000,3835407075,Healthcare,500+,,73,"Price was comparable but our implementation timeline sealed it, they needed to go live in 30 days.",,,D0019
329792788200,Deal 0007,3400000,3835407075,Fintech,51-200,,78,"Won on feature parity plus better support SLA, champion was very engaged throughout.",,,D0007
329838583509,Deal 0029,700000,3835407075,Healthcare,500+,,85,"They were evaluating two vendors, we won because our integration with their existing stack was native.",,,D0029
329622361832,Deal 0098,4000000,3835407075,Logistics,1-50,,36,Customer chose us for better customer support reputation based on reference calls.,,,D0098
329712458479,Deal 0004,4400000,3835407075,Healthcare,1-50,,70,"Price was comparable but our implementation timeline sealed it, they needed to go live in 30 days.",,,D0004
329746381525,Deal 0080,4000000,3835407075,Fintech,1-50,,23,Won mainly due to existing relationship with the CFO from a previous company.,,,D0080
329785834231,Deal 0090,5800000,3835407076,Fintech,51-200,,62,"Lost due to feature gap, they needed multi-currency support which we don't offer yet.",,,D0090
329789453000,Deal 0066,300000,3835407076,Healthcare,51-200,Competitor A,27,"Competitor A won this because of much faster onboarding, price was actually similar.",,,D0066
329798238946,Deal 0022,5200000,3835407076,Logistics,201-500,Competitor C,62,"No competitor mentioned, customer decided to build in-house instead.",,,D0022
329819287228,Deal 0071,7100000,3835407076,Logistics,500+,Competitor B,93,"Competitor B won purely on price, procurement forced a discount we couldn't match at this deal size.",,,D0071
329830654709,Deal 0049,700000,3835407076,Healthcare,1-50,Competitor A,39,We lost to Competitor A. Customer needed something live before a regulatory deadline and our setup time was too long.,,,D0049
329834335972,Deal 0037,900000,3835407076,Healthcare,1-50,Competitor A,29,"Lost to Competitor A, implementation speed was the deciding factor, not budget.",,,D0037
329477270227,Deal 0005,3200000,3835407075,EdTech,51-200,,67,Won mainly due to existing relationship with the CFO from a previous company.,,,D0005
329712458480,Deal 0008,6600000,3835407076,Fintech,500+,Competitor B,150,"Competitor B again on a large deal, customer said budget was approved for a lower number than our floor.",,,D0008
329746381523,Deal 0034,3400000,3835407075,Logistics,201-500,,37,Customer chose us for better customer support reputation based on reference calls.,,,D0034
329746381524,Deal 0012,2500000,3835407075,Fintech,51-200,,35,Customer chose us for better customer support reputation based on reference calls.,,,D0012
329748611804,Deal 0088,400000,3835407075,Healthcare,500+,,18,"Won on feature parity plus better support SLA, champion was very engaged throughout.",,,D0088
329748611805,Deal 0003,900000,3835407076,Healthcare,51-200,Competitor A,36,"Lost to Competitor A, implementation speed was the deciding factor, not budget.",,,D0003
329785834232,Deal 0056,3300000,3835407076,E-commerce,500+,Competitor B,60,"Lost to Competitor B after a long negotiation, their per-seat pricing was significantly lower for this volume.",,,D0056
329789453001,Deal 0039,3700000,3835407075,Fintech,500+,,36,"They were evaluating two vendors, we won because our integration with their existing stack was native.",,,D0039
329791255267,Deal 0024,1900000,3835407075,Manufacturing,51-200,,77,Won mainly due to existing relationship with the CFO from a previous company.,,,D0024
329817491132,Deal 0095,1700000,3835407075,E-commerce,51-200,,86,Customer chose us for better customer support reputation based on reference calls.,,,D0095
329819287226,Deal 0017,6300000,3835407076,Fintech,500+,Competitor B,122,"Lost to Competitor B after a long negotiation, their per-seat pricing was significantly lower for this volume.",,,D0017
329819304675,Deal 0032,4800000,3835407075,Healthcare,500+,,58,"Won on feature parity plus better support SLA, champion was very engaged throughout.",,,D0032
329819304676,Deal 0092,4800000,3835407076,E-commerce,500+,Competitor B,96,"Lost to Competitor B, finance team chose based on total contract value, our pricing wasn't competitive at this scale.",,,D0092
329832475381,Deal 0082,5400000,3835407076,E-commerce,500+,Competitor B,65,"Lost to Competitor B after a long negotiation, their per-seat pricing was significantly lower for this volume.",,,D0082
329834335971,Deal 0041,1300000,3835407075,Fintech,500+,,50,"Won after a strong product demo, no major competitor mentioned in this cycle.",,,D0041
329477270226,Deal 0074,1400000,3835407075,Fintech,51-200,,83,"Won after a strong product demo, no major competitor mentioned in this cycle.",,,D0074
329712458481,Deal 0040,4500000,3835407075,E-commerce,51-200,,56,Closed because our onboarding was 2 weeks vs their 8 week quote. Champion pushed hard internally.,,,D0040
329817491131,Deal 0073,500000,3835407075,EdTech,51-200,,80,"Won on feature parity plus better support SLA, champion was very engaged throughout.",,,D0073
329622361831,Deal 0030,300000,3835407076,Healthcare,51-200,Competitor A,40,"Competitor A won this because of much faster onboarding, price was actually similar.",,,D0030
329819287227,Deal 0087,3900000,3835407075,E-commerce,500+,,66,"Price was comparable but our implementation timeline sealed it, they needed to go live in 30 days.",,,D0087
329477270225,Deal 0054,900000,3835407075,Manufacturing,500+,,46,Won mainly due to existing relationship with the CFO from a previous company.,,,D0054
329746381526,Deal 0057,1100000,3835407075,E-commerce,201-500,,42,"Price was comparable but our implementation timeline sealed it, they needed to go live in 30 days.",,,D0057
329791255268,Deal 0026,1200000,3835407075,Logistics,51-200,,74,Champion left mid-cycle but new stakeholder preferred us due to reporting capabilities.,,,D0026
329834335973,Deal 0048,3700000,3835407075,EdTech,201-500,,16,"Won on feature parity plus better support SLA, champion was very engaged throughout.",,,D0048
329746381527,Deal 0094,6500000,3835407076,E-commerce,500+,Competitor B,64,"Lost to Competitor B after a long negotiation, their per-seat pricing was significantly lower for this volume.",,,D0094
329819304677,Deal 0052,3400000,3835407075,Fintech,51-200,,18,Customer chose us for better customer support reputation based on reference calls.,,,D0052
329832475382,Deal 0050,2400000,3835407075,Fintech,201-500,,41,"They were evaluating two vendors, we won because our integration with their existing stack was native.",,,D0050
329830654710,Deal 0028,200000,3835407076,Healthcare,500+,Competitor C,76,"No competitor mentioned, customer decided to build in-house instead.",,,D0028
329832475383,Deal 0045,1200000,3835407075,E-commerce,500+,,73,Closed because our onboarding was 2 weeks vs their 8 week quote. Champion pushed hard internally.,,,D0045
329785834233,Deal 0059,1500000,3835407075,Manufacturing,500+,,84,Won mainly due to existing relationship with the CFO from a previous company.,,,D0059
329789453002,Deal 0096,800000,3835407076,Healthcare,1-50,Competitor A,13,"Lost to Competitor A, implementation speed was the deciding factor, not budget.",,,D0096
329798238947,Deal 0036,5000000,3835407075,E-commerce,1-50,,35,Champion left mid-cycle but new stakeholder preferred us due to reporting capabilities.,,,D0036
329622361833,Deal 0014,3800000,3835407075,Healthcare,51-200,,25,"Won on feature parity plus better support SLA, champion was very engaged throughout.",,,D0014
329748611806,Deal 0031,2000000,3835407075,Healthcare,51-200,,25,Won mainly due to existing relationship with the CFO from a previous company.,,,D0031
329785835194,Deal 0063,2000000,3835407075,E-commerce,500+,,69,Customer chose us for better customer support reputation based on reference calls.,,,D0063
329830654711,Deal 0070,4400000,3835407076,EdTech,1-50,,52,"Deal went cold, customer stopped responding after the proposal stage, unclear reason.",,,D0070
329817491133,Deal 0020,4000000,3835407075,Manufacturing,1-50,,56,"Won after a strong product demo, no major competitor mentioned in this cycle.",,,D0020
