deal_id,deal_name,outcome,deal_value_inr,industry,company_size,competitor_mentioned,sales_cycle_days,deal_notes
D0001,Deal 0001,lost,5800000,Manufacturing,500+,Competitor B,76,"Lost to Competitor B, they undercut us by almost 25% on the enterprise contract."
D0002,Deal 0002,won,2600000,Healthcare,51-200,,15,Champion left mid-cycle but new stakeholder preferred us due to reporting capabilities.
D0003,Deal 0003,lost,900000,Healthcare,51-200,Competitor A,36,"Lost to Competitor A, implementation speed was the deciding factor, not budget."
D0004,Deal 0004,won,4400000,Healthcare,1-50,,70,"Price was comparable but our implementation timeline sealed it, they needed to go live in 30 days."
D0005,Deal 0005,won,3200000,EdTech,51-200,,67,Won mainly due to existing relationship with the CFO from a previous company.
D0006,Deal 0006,won,300000,Healthcare,201-500,,90,Customer chose us for better customer support reputation based on reference calls.
D0007,Deal 0007,won,3400000,Fintech,51-200,,78,"Won on feature parity plus better support SLA, champion was very engaged throughout."
D0008,Deal 0008,lost,6600000,Fintech,500+,Competitor B,150,"Competitor B again on a large deal, customer said budget was approved for a lower number than our floor."
D0009,Deal 0009,won,3800000,Logistics,201-500,,39,"Won on feature parity plus better support SLA, champion was very engaged throughout."
D0010,Deal 0010,won,300000,Logistics,1-50,,50,Won mainly due to existing relationship with the CFO from a previous company.
D0011,Deal 0011,won,3800000,Healthcare,51-200,,55,Won mainly due to existing relationship with the CFO from a previous company.
D0012,Deal 0012,won,2500000,Fintech,51-200,,35,Customer chose us for better customer support reputation based on reference calls.
D0013,Deal 0013,lost,300000,Healthcare,1-50,Competitor A,38,"Lost to Competitor A, they could go live in days while our implementation takes weeks, timeline was the dealbreaker."
D0014,Deal 0014,won,3800000,Healthcare,51-200,,25,"Won on feature parity plus better support SLA, champion was very engaged throughout."
D0015,Deal 0015,lost,2400000,Fintech,500+,,49,"No competitor mentioned, customer decided to build in-house instead."
D0016,Deal 0016,won,1600000,Fintech,500+,,72,"Won on a multi-year discount we offered, customer was price sensitive but valued the relationship."
D0017,Deal 0017,lost,6300000,Fintech,500+,Competitor B,122,"Lost to Competitor B after a long negotiation, their per-seat pricing was significantly lower for this volume."
D0018,Deal 0018,lost,3600000,Manufacturing,500+,Competitor B,141,"Competitor B again on a large deal, customer said budget was approved for a lower number than our floor."
D0019,Deal 0019,won,1900000,Healthcare,500+,,73,"Price was comparable but our implementation timeline sealed it, they needed to go live in 30 days."
D0020,Deal 0020,won,4000000,Manufacturing,1-50,,56,"Won after a strong product demo, no major competitor mentioned in this cycle."
D0021,Deal 0021,won,1100000,Logistics,500+,,39,"They were evaluating two vendors, we won because our integration with their existing stack was native."
D0022,Deal 0022,lost,5200000,Logistics,201-500,Competitor C,62,"No competitor mentioned, customer decided to build in-house instead."
D0023,Deal 0023,won,4300000,Logistics,201-500,,58,"Won on feature parity plus better support SLA, champion was very engaged throughout."
D0024,Deal 0024,won,1900000,Manufacturing,51-200,,77,Won mainly due to existing relationship with the CFO from a previous company.
D0025,Deal 0025,lost,500000,Healthcare,1-50,Competitor A,21,We lost to Competitor A. Customer needed something live before a regulatory deadline and our setup time was too long.
D0026,Deal 0026,won,1200000,Logistics,51-200,,74,Champion left mid-cycle but new stakeholder preferred us due to reporting capabilities.
D0027,Deal 0027,won,200000,Fintech,51-200,,24,Closed because our onboarding was 2 weeks vs their 8 week quote. Champion pushed hard internally.
D0028,Deal 0028,lost,200000,Healthcare,500+,Competitor C,76,"No competitor mentioned, customer decided to build in-house instead."
D0029,Deal 0029,won,700000,Healthcare,500+,,85,"They were evaluating two vendors, we won because our integration with their existing stack was native."
D0030,Deal 0030,lost,300000,Healthcare,51-200,Competitor A,40,"Competitor A won this because of much faster onboarding, price was actually similar."
D0031,Deal 0031,won,2000000,Healthcare,51-200,,25,Won mainly due to existing relationship with the CFO from a previous company.
D0032,Deal 0032,won,4800000,Healthcare,500+,,58,"Won on feature parity plus better support SLA, champion was very engaged throughout."
D0033,Deal 0033,lost,7400000,Fintech,500+,Competitor B,91,"Competitor B's aggressive enterprise discount won this one, feature comparison was actually in our favor."
D0034,Deal 0034,won,3400000,Logistics,201-500,,37,Customer chose us for better customer support reputation based on reference calls.
D0035,Deal 0035,lost,5800000,Healthcare,1-50,Competitor C,43,"Lost on timing, customer paused all new vendor evaluations due to internal reorg."
D0036,Deal 0036,won,5000000,E-commerce,1-50,,35,Champion left mid-cycle but new stakeholder preferred us due to reporting capabilities.
D0037,Deal 0037,lost,900000,Healthcare,1-50,Competitor A,29,"Lost to Competitor A, implementation speed was the deciding factor, not budget."
D0038,Deal 0038,lost,900000,Healthcare,1-50,Competitor A,20,"Lost to Competitor A, they could go live in days while our implementation takes weeks, timeline was the dealbreaker."
D0039,Deal 0039,won,3700000,Fintech,500+,,36,"They were evaluating two vendors, we won because our integration with their existing stack was native."
D0040,Deal 0040,won,4500000,E-commerce,51-200,,56,Closed because our onboarding was 2 weeks vs their 8 week quote. Champion pushed hard internally.
D0041,Deal 0041,won,1300000,Fintech,500+,,50,"Won after a strong product demo, no major competitor mentioned in this cycle."
D0042,Deal 0042,won,600000,Logistics,500+,,83,Customer liked our pricing flexibility and the demo landed really well with the finance team.
D0043,Deal 0043,won,2600000,Healthcare,1-50,,27,"Price was comparable but our implementation timeline sealed it, they needed to go live in 30 days."
D0044,Deal 0044,lost,2600000,EdTech,1-50,Competitor C,83,"No competitor mentioned, customer decided to build in-house instead."
D0045,Deal 0045,won,1200000,E-commerce,500+,,73,Closed because our onboarding was 2 weeks vs their 8 week quote. Champion pushed hard internally.
D0046,Deal 0046,won,2700000,Logistics,500+,,73,Customer liked our pricing flexibility and the demo landed really well with the finance team.
D0047,Deal 0047,lost,3800000,E-commerce,500+,Competitor B,69,"Competitor B's aggressive enterprise discount won this one, feature comparison was actually in our favor."
D0048,Deal 0048,won,3700000,EdTech,201-500,,16,"Won on feature parity plus better support SLA, champion was very engaged throughout."
D0049,Deal 0049,lost,700000,Healthcare,1-50,Competitor A,39,We lost to Competitor A. Customer needed something live before a regulatory deadline and our setup time was too long.
D0050,Deal 0050,won,2400000,Fintech,201-500,,41,"They were evaluating two vendors, we won because our integration with their existing stack was native."
D0051,Deal 0051,won,2600000,Manufacturing,1-50,,63,"Won on a multi-year discount we offered, customer was price sensitive but valued the relationship."
D0052,Deal 0052,won,3400000,Fintech,51-200,,18,Customer chose us for better customer support reputation based on reference calls.
D0053,Deal 0053,won,2200000,Fintech,1-50,,66,"They were evaluating two vendors, we won because our integration with their existing stack was native."
D0054,Deal 0054,won,900000,Manufacturing,500+,,46,Won mainly due to existing relationship with the CFO from a previous company.
D0055,Deal 0055,won,400000,E-commerce,201-500,,73,Customer chose us for better customer support reputation based on reference calls.
D0056,Deal 0056,lost,3300000,E-commerce,500+,Competitor B,60,"Lost to Competitor B after a long negotiation, their per-seat pricing was significantly lower for this volume."
D0057,Deal 0057,won,1100000,E-commerce,201-500,,42,"Price was comparable but our implementation timeline sealed it, they needed to go live in 30 days."
D0058,Deal 0058,lost,400000,Healthcare,51-200,Competitor A,31,"Customer picked Competitor A for faster time to value, mentioned our setup process felt too heavy for their size."
D0059,Deal 0059,won,1500000,Manufacturing,500+,,84,Won mainly due to existing relationship with the CFO from a previous company.
D0060,Deal 0060,lost,2600000,Fintech,1-50,,14,Customer chose to stay with incumbent vendor after renewal negotiations improved.
D0061,Deal 0061,won,3900000,Fintech,1-50,,84,Closed because our onboarding was 2 weeks vs their 8 week quote. Champion pushed hard internally.
D0062,Deal 0062,lost,3700000,EdTech,201-500,,26,"No competitor mentioned, customer decided to build in-house instead."
D0063,Deal 0063,won,2000000,E-commerce,500+,,69,Customer chose us for better customer support reputation based on reference calls.
D0064,Deal 0064,won,4800000,Manufacturing,51-200,,88,"Won on a multi-year discount we offered, customer was price sensitive but valued the relationship."
D0065,Deal 0065,won,3000000,Fintech,1-50,,85,"Won on feature parity plus better support SLA, champion was very engaged throughout."
D0066,Deal 0066,lost,300000,Healthcare,51-200,Competitor A,27,"Competitor A won this because of much faster onboarding, price was actually similar."
D0067,Deal 0067,won,3100000,EdTech,500+,,21,"Won on feature parity plus better support SLA, champion was very engaged throughout."
D0068,Deal 0068,lost,400000,Healthcare,1-50,Competitor A,39,We lost to Competitor A. Customer needed something live before a regulatory deadline and our setup time was too long.
D0069,Deal 0069,lost,200000,Healthcare,51-200,Competitor A,29,"Lost to Competitor A, they could go live in days while our implementation takes weeks, timeline was the dealbreaker."
D0070,Deal 0070,lost,4400000,EdTech,1-50,,52,"Deal went cold, customer stopped responding after the proposal stage, unclear reason."
D0071,Deal 0071,lost,7100000,Logistics,500+,Competitor B,93,"Competitor B won purely on price, procurement forced a discount we couldn't match at this deal size."
D0072,Deal 0072,won,400000,Fintech,1-50,,57,"Won on feature parity plus better support SLA, champion was very engaged throughout."
D0073,Deal 0073,won,500000,EdTech,51-200,,80,"Won on feature parity plus better support SLA, champion was very engaged throughout."
D0074,Deal 0074,won,1400000,Fintech,51-200,,83,"Won after a strong product demo, no major competitor mentioned in this cycle."
D0075,Deal 0075,lost,3400000,Logistics,201-500,Competitor C,49,Lost because our product lacked a specific compliance certification they required.
D0076,Deal 0076,won,500000,Logistics,201-500,,21,"Won on a multi-year discount we offered, customer was price sensitive but valued the relationship."
D0077,Deal 0077,lost,7600000,Manufacturing,500+,Competitor B,103,"Competitor B won purely on price, procurement forced a discount we couldn't match at this deal size."
D0078,Deal 0078,won,2500000,Healthcare,1-50,,54,Won mainly due to existing relationship with the CFO from a previous company.
D0079,Deal 0079,lost,4000000,Healthcare,1-50,Competitor C,65,"Deal went cold, customer stopped responding after the proposal stage, unclear reason."
D0080,Deal 0080,won,4000000,Fintech,1-50,,23,Won mainly due to existing relationship with the CFO from a previous company.
D0081,Deal 0081,lost,700000,Healthcare,51-200,Competitor A,17,We lost to Competitor A. Customer needed something live before a regulatory deadline and our setup time was too long.
D0082,Deal 0082,lost,5400000,E-commerce,500+,Competitor B,65,"Lost to Competitor B after a long negotiation, their per-seat pricing was significantly lower for this volume."
D0083,Deal 0083,won,2700000,Logistics,201-500,,62,"Won after a strong product demo, no major competitor mentioned in this cycle."
D0084,Deal 0084,won,4200000,Healthcare,201-500,,79,"Won on a multi-year discount we offered, customer was price sensitive but valued the relationship."
D0085,Deal 0085,won,4900000,Fintech,51-200,,28,Customer chose us for better customer support reputation based on reference calls.
D0086,Deal 0086,won,3200000,EdTech,500+,,42,Champion left mid-cycle but new stakeholder preferred us due to reporting capabilities.
D0087,Deal 0087,won,3900000,E-commerce,500+,,66,"Price was comparable but our implementation timeline sealed it, they needed to go live in 30 days."
D0088,Deal 0088,won,400000,Healthcare,500+,,18,"Won on feature parity plus better support SLA, champion was very engaged throughout."
D0089,Deal 0089,won,1100000,Healthcare,1-50,,35,Champion left mid-cycle but new stakeholder preferred us due to reporting capabilities.
D0090,Deal 0090,lost,5800000,Fintech,51-200,,62,"Lost due to feature gap, they needed multi-currency support which we don't offer yet."
D0091,Deal 0091,lost,2700000,Healthcare,51-200,,52,Lost to Competitor C on integration depth with their existing data warehouse.
D0092,Deal 0092,lost,4800000,E-commerce,500+,Competitor B,96,"Lost to Competitor B, finance team chose based on total contract value, our pricing wasn't competitive at this scale."
D0093,Deal 0093,lost,4100000,E-commerce,500+,,105,"Lost on timing, customer paused all new vendor evaluations due to internal reorg."
D0094,Deal 0094,lost,6500000,E-commerce,500+,Competitor B,64,"Lost to Competitor B after a long negotiation, their per-seat pricing was significantly lower for this volume."
D0095,Deal 0095,won,1700000,E-commerce,51-200,,86,Customer chose us for better customer support reputation based on reference calls.
D0096,Deal 0096,lost,800000,Healthcare,1-50,Competitor A,13,"Lost to Competitor A, implementation speed was the deciding factor, not budget."
D0097,Deal 0097,lost,200000,Healthcare,51-200,Competitor A,31,"Lost to Competitor A, implementation speed was the deciding factor, not budget."
D0098,Deal 0098,won,4000000,Logistics,1-50,,36,Customer chose us for better customer support reputation based on reference calls.
D0099,Deal 0099,lost,4300000,E-commerce,201-500,Competitor C,75,Lost because our product lacked a specific compliance certification they required.
D0100,Deal 0100,won,700000,Healthcare,1-50,,45,Customer liked our pricing flexibility and the demo landed really well with the finance team.
